LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Saint-Vincent-de-Barbeyrargues,2022,322,Appartements,26
Saint-Vincent-d'Olargues,2022,342,Appartements,3
Salasc,2022,236,Appartements,9
La Salvetat-sur-Agout,2022,1629,Appartements,378
Saturargues,2022,458,Appartements,54
Saussan,2022,787,Appartements,65
Saussines,2022,495,Appartements,50
Sauteyrargues,2022,213,Appartements,25
Sauvian,2022,2757,Appartements,400
Sérignan,2022,5740,Appartements,1663
Servian,2022,2772,Appartements,364
Sète,2022,33474,Appartements,27427
Siran,2022,581,Appartements,45
Sorbs,2022,68,Appartements,4
Soubès,2022,560,Appartements,64
Le Soulié,2022,276,Appartements,10
Soumont,2022,171,Appartements,38
Sussargues,2022,1260,Appartements,170
Taussac-la-Billière,2022,328,Appartements,43
Teyran,2022,2068,Appartements,187
